pub_id,scholar_ids,year,title,abstract
305,3A2UnqIAAAAJ,2024,pH‐dependent stability of major betalains in the encapsulated beetroot extracts (Beta vulgaris L.),"Betalain is a water‐soluble pigment contained in Caryophyllales plants. It not only holds potential as a natural food colorant but also offers various health benefits, acting as an antioxidant. This study focused on analyzing the pH‐dependent stability of encapsulated betalain pigments extracted from red beetroot (Beta vulgaris L.) using methods such as absorption spectroscopy, HPLC, and LC–MS. The major pigments identified were vulgaxanthin I, betanin, isobetanin, and neobetanin, alongside minor components, including three betaxanthin species and a degradation product known as betalamic acid. Spectrophotometric analyses revealed that above pH 8, the betalain peak at 435 nm decreased and red‐shifted to a peak at 549 nm, a shift that could be reversed through neutral pH treatment. At pH 11, a new broad peak appeared at 410 nm and was identified as betalamic acid. To assess the pH …"
306,3A2UnqIAAAAJ,2023,Functional Food Development of Natural Colorant Additives from Mulberry Fruit Extract (Morus nigra L) with Bioactive and Hedonic Evaluation,"All modern lifestyles such as unhealthy eating patterns and lack of exercise can trigger the accumulation of free radicals in the human body, where the human body cannot neutralize these free radicals fast enough because of the large number of free radicals that have accumulated in it. Therefore, antioxidant compounds need to be consumed to suppress free radicals. In this study, mulberry is promoted as a natural, functional, and dye source that has been explored for further applications in food and beverages. This research aims to develop natural coloring products from mulberry fruit through extraction and encapsulation processes. Furthermore, hedonic testing was also carried out to determine the panelist's preference level for jelly products using mulberry fruit dyes. Mulberry fruit is extracted, encapsulated by freeze drying method, and processed into a natural dye in jelly products. Mulberry fruit extract contains vitamin C 4.1 g/ml, anthocyanin content of 215.16 mg/L, and antioxidant activity of 73.25. Mulberry encapsulates can be used as a natural dye in jelly products. Based on hedonic testing, jelly products made from natural dyes have superior taste and texture. Further development of natural mulberry fruit encapsulated dyes needs to be done to increase solubility, color sharpness, aroma and color stability"
307,3A2UnqIAAAAJ,2023,PENGARUH FASILITAS KERJA DAN LINGKUNGAN KERJA TERHADAP KINERJA KARYAWAN DI UD KERAJINAN KAYU TOHU SRIJAYA KOTA BATU,"Tujuan dari penelitian ini adalah untuk mengetahui dan menganalisis pengaruh fasilitas dan lingkungan kerja terhadap kinerja karyawan di UD. Seni kayu Tohu Srijaya. Anggapan bahwa kondisi fasilitas dan lingkungan kerja berbanding lurus dengan produktivitas karyawan. Tujuan penelitian adalah untuk merumuskan dan melihat seberapa besar korelasi antara kedua variabel tersebut dalam kaitannya dengan situasi kerja karyawan di bagian produksi. Metode yang digunakan dalam penelitian ini adalah metode kuantitatif, yaitu analisis berdasarkan data yang akurat, yang kemudian diolah sesuai dengan kebutuhan variabel penelitian. Populasi dalam penelitian ini adalah seluruh pegawai pada UD. Kerajinan Kayu Tohu Srijaya. Sampel dalam penelitian ini menggunakan sampel jenuh sebanyak 33 orang. Teknik pengumpulan data dalam penelitian ini menggunakan kusioner dan teknik observasi. Dalam penelitian ini, software SPSS (Statistical Package for the Social Sciences) digunakan untuk pengolahan data. Hasil penelitian ini menunjukkan bahwa fasilitas kerja memiliki pengaruh yang signifikan terhadap kinerja karyawan dan lingkungan kerja memiliki pengaruh yang signifikan terhadap kinerja karyawan di UD. Seni kayu Tohu Srijaya. Penelitian diharapkan mampu menjadi landasan dalam penentuan kebijakan yang berhubungan dengan fasilitas kerja dan kondisi lingkungan kerja yang kondusif, serta membantu memberi landasan verifikatif penelitian selanjutnya tentang relasi lingkungan kerja terhadap produktivitas kerja."
308,3A2UnqIAAAAJ,2023,Analisis Pengaruh Makro Influencer Dan Mikro Influencer Dalam Kol (Key Opinion Leader) Marketing Terhadap Brand Awareness Skintific,"Industri skincare saat ini mengalami perkembangan yang pesat dan inovasi produk yang semakin beragam. Hal ini dipicu oleh tingginya permintaan dari konsumen yang semakin sadar akan pentingnya menjaga kesehatan kulit dan penampilan yang maksimal. Namun, seiring dengan pesatnya perkembangan tersebut, persaingan antar merek skincare juga semakin ketat dan kompetitif (Kusumawati, 2019).Setiap merek berusaha untuk menciptakan produk terbaik dan menarik perhatian konsumen melalui promosi yang efektif. Salah satu strategi promosi yang populer saat ini adalah influencer marketing atau pemasaran melalui influencer. Influencer merupakan individu yang memiliki pengaruh besar di media sosial, terutama di platform seperti Instagram dan YouTube (Fitriani, 2021). Mereka memiliki banyak pengikut dan penggemar yang setia dan mempercayai opini dan saran yang diberikan oleh influencer tersebut."
309,3A2UnqIAAAAJ,2023,PENGARUHSERVICEQUALITYTERHADAPTINGKATKEPUASANKONSUMENDIOLYMPUSPOOL&CAFE MALANG,"This research was conducted to determine the effect of service quality consisting  of tangible, reliability, responsiveness, assurance, and empathy on the level of  customer satisfaction at the Olympus Pool & Cafe Malang. This type of research  uses a quantitative approach. Sampling using purposive sampling technique of  100 respondents with the criteria of respondents who had been consumers at the  Olympus Pool & Cafe. Data obtained through online questionnaires. Based on  the results of the study, it shows that the variables tangible, reliability,  responsiveness, assurance, and empathy simultaneously have a significant effect  on the level of customer satisfaction with an Fcount test value of 31,409 > Ftable  2,467 with a significance of 0.000 <0.05. Based on the results of the t test, it can  be concluded that the tangible, reliability, and empathy variables have a  significant effect on the level of customer satisfaction, while the responsiveness  variable has a t test value of 0.424 <1.985 and a significance of 0.673 > 0.05 and  an assurance value of t test 0.371 <1.985 and a significance of 0.711 > 0.05, it  can be stated that it has no significant effect on the level of customer satisfaction.  Tangible, reliability, responsiveness, assurance, and empathy affect the level of  customer satisfaction by 60.6%, while the remaining 39.4% is influenced by  other variables not discussed in this study.  Keywords : Service Quality, Tangible, Reliability, Responsiveness, Assurance,  Empathy, Customer Satisfaction Level."
310,3A2UnqIAAAAJ,2022,Photostability study of new photosensitizer from dregs of green tea and its antibacterial adjustment against Escherichia coli ATCC 8739,"The dregs of green teas have recently been investigated as a potential source of pigments which exhibits antibacterial effects via the photodynamic mechanism. The dregs contain chlorophyll derivatives and trace carotenoids, which can absorb visible lights and produce cytotoxic radicals. The present research was aimed to perform:(i) the photostability study of pigments extract from dregs of green teaunder the illumination of red LED (light-emitting diode) lamp, and (ii) the evaluation of photodynamic antibacterial activity against Escherichia coli ATCC 8739 upon the adjustment of either illumination time or sensitizer concentration. The pigments extract from the dregs was irradiated under a red LED lamp at 300 μmol/m2s for 40 minutes while being periodically observed using UV-Visible spectrophotometer and high-performance liquid chromatography. The microbial assay was performed by positioning the mixture of …"
311,3A2UnqIAAAAJ,2021,Product Characterization and Marketing Strategy of “BREM UNGU”: Rejuvenation of Indonesian Traditional Food with Local Purple Sweet Potato as the Source of Natural Colorant,"Solid brem is an indigenous fermented food of Indonesia, which often has typical form of long thick bar, white to yellow in color, sweet-sour taste with cooling sensation, and it is easy to crumble by the presence of water. These unique characteristics are generated through alcoholic fermentation of glutinous rice, followed by filtration, concentration, whipping and dehydration. Although it is continuously produced and sold as regional specialties of Madiun, East Java, most people refuse to consume this solid brem due to its high sugar content and lack of information that describes its potential health benefits. The present study is attempting the possibility of combining glutinous rice with another local food material having well-known health benefit. Here, we utilize the potency of local purple sweet potato (Ipomoea batatas var. Gunung Kawi), being rich in carbohydrate and anthocyanines, to partly substitute the glutinous rice while adding the health benefits of the final product. The present anthocyanins in purple sweet potato has been well-studied, exhibiting antioxidant, anti-inflammation, and hepatoprotective activities. The raw materials were subjected to yeast fermentation for 7 days, and subsequently extracted using manual mechanical press. A series of materials ratio (extract of fermented glutinous rice: purple sweet potato= 30: 1, 15: 1, 15: 2) was determined prior to dehydration of brem, and then the color, sugar content, pH, antioxidant activity, and sensory properties of the resulted product were analyzed. Moreover, the competitive analysis and marketing strategy will also be discussed in order to make sure the sustainability of this new innovation."
312,3A2UnqIAAAAJ,2021,CCDC 1570723: Experimental Crystal Structure Determination,"CCDC 1570723: Experimental Crystal Structure Determination | CiNii Research CiNii 国立
情報学研究所 学術情報ナビゲータ[サイニィ] 詳細へ移動 検索フォームへ移動 論文・データをさがす 
大学図書館の本をさがす 日本の博士論文をさがす English 検索 タイトル 人物/団体名 所属機関 ISSN 
DOI 期間 ~ 本文リンク 本文リンクあり データソース JaLC IRDB Crossref DataCite NDLサーチ 
NDLデジコレ(旧NII-ELS) RUDA JDCat NINJAL CiNii Articles CiNii Books DBpedia Nikkei BP 
KAKEN Integbio PubMed LSDB Archive 極地研ADS 極地研学術DB OpenAIRE 公共データカタログ 
すべて 研究データ 論文 本 博士論文 プロジェクト [2024年12月9日更新]CiNii Dissertations及び
CiNii BooksのCiNii Researchへの統合について CiNii Research自動翻訳機能(試行版)をCiNii 
Labsにて公開しました 日経BP社提供データの更新停止及び削除について 「研究データ」「根拠データ
」の収録について CiNiiのサービスに関するアンケートを実施中です(期間:2025年3月18日(火)から…"
313,3A2UnqIAAAAJ,2021,Research Article Visible Light-Induced Antibacterial Activity of Pigments Extracted from Dregs of Green and Black Teas,"Chlorophyll and its derivatives are potential natural sensitizers frequently applied in antimicrobial photodynamic therapy. Chlorophyll derivatives are formed naturally during tea processing, but they do not contribute to the color of tea infusions and thus are presumably left in the tea dregs. e present study aimed to investigate (i) the chlorophyll remnants in the pigments recovered from dregs of green and black teas and (ii) the antibacterial activity of pigments extracted from the tea dregs upon illumination using a light-emitting diode (LED) as the light source. Pigment analysis using high-performance liquid chromatography (HPLC) revealed the presence of main degradation products of chlorophylls, such as pheophytin and its epimers, pyropheophytin, and pheophorbides. In vitro assays demonstrated significant reductions in the number of viable bacteria in the presence of the pigments after 30 min of incubation with LED light irradiation. e descending order of bacterial susceptibility was Listeria monocytogenes> Staphylococcus aureus> Escherichia coli> Salmonella typhi. At an equivalent irradiation intensity, the blue and red LEDs could stimulate a comparable inactivation effect through photodynamic reactions. ese findings demonstrated the valorization potential of tea dregs as a source of chlorophyll derivatives with visible light-induced antibacterial activity."
314,3A2UnqIAAAAJ,2021,"Remnant photosynthetic pigments in tea dregs: identification, composition, and potential use as antibacterial photosensitizer","The production of tea dregs is continually increasing along with the growth of people's interest in ready-to-drink beverages. However, the recent development of research on the use of tea dregs is still very limited. The present study was aimed to identify the remnant photosynthetic pigments in tea dregs, determine their composition, and evaluate their potential use as natural antibacterial agents based on light-induced reaction (photosensitization). The tea dregs from six commercial teas, consisting of green and black teas, were analyzed using high-performance liquid chromatography (HPLC) with a photodiode array detector, and the spectroscopic data were analyzed from 350 to 700 nm. Pigment identification was performed based on spectral characteristics, and pigment composition in the extracts from the dregs was determined by a three-dimensional multi-chromatogram analysis method. The dominant pigment fractions in both tea types were pheophytin a and its isomers, as well as pheophytin b. Although the dregs of black teas generally contain fewer remnant pigments, they possess residual chlorophyll b, which is not found in the dregs of green teas. In thirty-minutes illumination under 50 W red light-emitting diode, the presence of pigments from tea dregs caused up to 0.87 and 0.35 log reduction of Staphylococcus aureus and Escherichia coli, respectively. The disparity of pigments composition among tea types does not strongly influence their photosensitization activity against both bacteria. Hence, upon further application, the amount of total remnant pigments in the dregs could be taken as substantial consideration instead of tea types."
315,3A2UnqIAAAAJ,2021,Visible light‐induced antibacterial activity of pigments extracted from dregs of green and black teas,"Chlorophyll and its derivatives are potential natural sensitizers frequently applied in antimicrobial photodynamic therapy. Chlorophyll derivatives are formed naturally during tea processing, but they do not contribute to the color of tea infusions and thus are presumably left in the tea dregs. The present study aimed to investigate (i) the chlorophyll remnants in the pigments recovered from dregs of green and black teas and (ii) the antibacterial activity of pigments extracted from the tea dregs upon illumination using a light‐emitting diode (LED) as the light source. Pigment analysis using high‐performance liquid chromatography (HPLC) revealed the presence of main degradation products of chlorophylls, such as pheophytin and its epimers, pyropheophytin, and pheophorbides. In vitro assays demonstrated significant reductions in the number of viable bacteria in the presence of the pigments after 30 min of incubation …"
316,3A2UnqIAAAAJ,2021,Terapi Fotodinamik Antimikroba: Prospek Baru Dalam Penanganan Pangan?,"Terapi fotodinamik antimikroba merupakan kombinasi reaksi fisika dan kimia yang melibatkan interaksi antara sensitizer, cahaya, dan oksigen, untuk menghasilkan spesi oksigen reaktif yang dapat memicu kematian sel mikroba. Sensitizer merupakan senyawa kimia yang dapat teraktivasi oleh cahaya. Senyawa yang dapat digunakan sebagai sensitizer antara lain adalah dari kelompok zat warna dengan struktur trisiklik (riboflavin, metilen biru, eritrosin), tetrapirol (klorofil, porfirin, ftalosianina), serta fukokoumarin (psoralen, ksantotoksin). Cahaya yang digunakan tidak terbatas pada rentang ultra-violet, sebagaimana telah banyak diaplikasikan pada metode disinfeksi, tetapi juga dapat berasal dari rentang panjang gelombang cahaya tampak. Pembentukan spesi oksigen reaktif dapat melalui jalur mekanisme transfer energi ataupun transfer elektron. Metode inaktivasi mikroba secara fotodinamik menawarkan perlakuan tanpa panas, waktu kerja yang singkat, meminimalkan kemungkinan berkembangnya resistensi mikroba, serta ramah lingkungan. Kajian pustaka ini akan membahas tentang komponen terapi fotodinamik antimikroba, mekanisme reaksi, perkembangan penelitian di dalam dan luar negeri, serta prospek aplikasinya dalam penanganan pangan."
317,3A2UnqIAAAAJ,2020,Color Alteration of Encapsulated Beetroot (Beta vulgaris L.) Extract Upon Dissolving in Various pH Treatment,"It has been known that most natural pigments are unstable upon exposure against several environmental factors, such as thermal treatment, light, oxidizing or reducing agents, as well as acid or alkaline compounds. Encapsulation procedures is often adopted to adjust the solubility and provide protection to the natural pigments. Here, we prepared an encapsulated beetroot extract as the candidate of red bio-colorant. The primary aim of the present study is to investigate color alteration of encapsulated beetroot (Beta vulgaris L.) extract upon dissolving in various pH adjustment and prolonged storage. The McIllvainne buffer was prepared in various pH range, ie from 2 to 11. The encapsulated extract (0.1% w/v) was dissolved and the color of the solutions were measured regularly until 3 days storage under darkness at 20 0 C. Any degradation or structural changes will cause color alteration, which were monitored …"
318,3A2UnqIAAAAJ,2020,Humans’ Body Immunity and Natural Pigments,"The emerging pandemic of Corona Virus Disease (COVID-19) has attracted special concerns regarding the case of very contagious viral infection. Besides the profound waiting toward vaccine development, public awareness was also addressed into the effort of increasing humans’ body immunity. Nowadays, the people are encouraged to consume adequate amount of vitamin C and increase the consumption of fruits and vegetables. In addition, various kinds of food supplements are offered and claimed to give us protection and prevention against viral infection by boosting our immune system. However, the communities are actually lack of proper information regarding the true mechanism of immune system. How is the infection developed in our body? How does the immune system work? Could it be modulated by consuming the bioactive compounds? Here, the stages of infection, the immune system, as well as the role of natural pigments to support the humans’ body immunity will be briefly discussed."
319,3A2UnqIAAAAJ,2020,Functionalization of titanium dioxide through dye-sensitizing method utilizing red amaranth extract for phenol photodegradation,"In this work, red amaranth (RA) extract was utilized as the source of the natural pigments for dye-sensitizing of the TiO 2. The natural pigments were isolated from the RA leaves through a maceration technique to obtain the RA extract as a red powder. Since photocatalytic efficiency of titanium dioxide (TiO 2) under visible light is negligible, further modification such as by addition of dye-sensitizer is required. The TiO 2 was sensitized using the natural pigments contained in the RA extract using (3-aminopropyl) trimethoxysilane (APTMS) as the linker agent through an impregnation method to give the dye-sensitized TiO 2 composite (RA-APTMS/TiO 2). After dye-sensitizing, new absorption peaks at 1632–1030 cm− 1 were detected in the Fourier transform infrared (FTIR) spectra, which were corresponded to the functional groups of chlorophyll originated from the RA extract. Furthermore, the appearance of a new …"
320,3A2UnqIAAAAJ,2020,Thermal Degradation Kinetics of Encapsulated Palm Carotenes Using Different Combination of Wall Materials,"Palm oil is known as one of the richest sources of carotenes. Carotenes concentrate could be prepared from crude palm oil and possessing potency to be used as nutraceutical materials. Due to the susceptibility of carotenes against heat, the encapsulation procedure might be applied to provide protections. The present study was aimed to learn the influence of using different combination of wall materials toward the thermal degradation kinetics of palm carotenes. Maltodextrin was used as primary wall material, being combined with various surface-active agents, ie Tween-80 (A), Tween-20 (B), and Arabic gum (C). The carotenes concentrate was encapsulated through emulsification steps, and the vivid yellow powder was obtained after freeze drying process. Then, encapsulated palm carotenes were stored in 20 C, 35 C, and 50 C for several days, and the color, carotenes spectrum, as well as water content were monitored periodically. The kinetics of thermal degradation of carotenes were estimated using Arrhenius equation. The results showed that the use of different combination of wall materials exhibited distinct degradation rate. The combination of maltodextrin and Tween-80 gave preferable protection compared to the others, being half-degraded after 51 days in 200C."
321,3A2UnqIAAAAJ,2020,"An Indonesian Marine Bacterium, Pseudoalteromonas rubra, Produces Antimicrobial Prodiginine Pigments","Red pigmented marine bacteria, Pseudoalteromonas rubra strains PS1 and SB14, were isolated from two sampling locations in different ecosystems on Alor Island, Indonesia, and cultured in the laboratory. We analyzed the 16S rRNA gene sequences and examined the pigment composition and found that both strains produced cycloprodigiosin (3), prodigiosin (4), and 2-methyl-3-hexyl-prodiginine (5) as major compounds. In addition, we detected three minor compounds: prodigiosin derivatives 2-methyl-3-propyl prodiginine (1), 2-methyl-3-butyl prodiginine (2), and 2-methyl-3-heptyl-prodiginine (6). To our knowledge, this is the first report that P. rubra synthesizes not only prodigiosin and cycloprodigiosin but also four prodigiosin derivatives that differ in the length of the alkyl chain. The antimicrobial activity of cycloprodigiosin, prodigiosin, and 2-methyl-3-hexyl-prodiginine was examined by a disk-diffusion test …"
322,3A2UnqIAAAAJ,2019,Karakterisasi metode paper analytical device berbasis pencitraan digital untuk deteksi kadmium,"Logam kadmium merupakan logam yang bersifat toksik dan mencemari lingkungan serta mengalami proses biotransformasi dan bioakumulasi dalam organisme hidup (tumbuhan, hewan dan manusia). Ikan merupakan salah satu biota perairan yang dapat terpapar logam Cd sehingga merupakan sumber masuknya logam Cd ke dalam tubuh manusia. Telah banyak ditemukan keracunan bersifat kronis yang terjadi pada manusia seperti kanker disebabkan paparan logam kadmium. Paper analytical device telah dilaporkan sebagai metode yang efektif, sensitid dan telah banyak diaplikasikan dalam logam berat. Penentuan kadmium dengan metode paper analytical device berbasis kolometri dengan teknik pencitraan digital telah berhasil dikembangkan. Metode ini menggunakan kertas Whatmann yang telah dipreparasi, kemudian diteteskan dengan reagen alizarin red s yang berdifusi melewati kapiler kertas hingga membentuk warna kuning kehijauan. Intensitas warna yang terbentuk difoto dengan kamera kemudian dianalisis secara kolorimetri menggunakan program Image J untuk memperoleh absorbansi pada masing-masing warna komplementer merah, hijau, biru. Penelitian memfokuskan pada karakterisasi metode yang akan dikembangkan meliputi optimasi reagen (alizarin red S dan asam sulfat) serta waktu pengukuran. Hasil penelitian menunjukkan konsentrasi optimum dari Alizarin Red S dan H2SO4 masing-masing sebesar 750 ppm dan 0, 05 M dengan waktu pengukuran sebesar 10 menit."
323,3A2UnqIAAAAJ,2019,Selective betalain impregnation from red amaranth extract onto titanium dioxide nanoparticles,"In the present work, we reported a selective impregnation of betalain from the red amaranth extract onto titanium dioxide (TiO2) nanoparticles with the help of (3-chloropropyl) trimethoxysilane (CPTMS) as the organic linker. At first, the red amaranth was extracted using a free-solvent method and encapsulated with maltodextrin. The CPTMS was then used as a linker agent to prepare the composite TiO2 material containing the red amaranth extract (0.05, 0.10, and 0.20%(w/w)) by an impregnation method in ethanol. After the impregnation, the filtrate color was green while the composite material was obtained as a purplish solid. The diffuse reflectance ultraviolet-visible (DR UV-Vis) spectra of the composite materials showed the absorption peaks at 540 and 665 nm, showing the presence of the betalain pigment. Furthermore, the Fourier-transform infrared (FTIR) spectrum of the composite material confirmed the …"
324,3A2UnqIAAAAJ,2019,"Isolation, encapsulation, stability and characteristics of thylakoid from suji leaves (Pleomele angustifolia) as natural food coloring agent","Suji (Pleomele angustifolia) is one kind of Indonesian typical plants which can be used as natural green food coloring agent. The susceptibility of natural pigment to external environment forces the protection in order to prolong its shelf life. Encapsulation has been known in the art of food preparation to provide protection for several ingredients including food coloring agent. The objective of this study was to observe the method for isolation and encapsulation of thylakoid, and to investigate the stability and characteristics of thylakoid of suji leaves encapsulated in maltodextrin during dark storage at 30 C, 45 C, and 60 C. The degradation of the encapsulated pigments was identified through chromametric analysis which resulted in the increase of L*(lightness), a*(redness), and b*(yellowness) values. In addition, it was also indicated by the decrease of total chlorophyll (TC) which was determined using …"
325,3bis8a0AAAAJ,2022,Villainess Protagonists’ Performative Acts as the Representation of Modern Femininity,"The research discussed a different representations of femininity through the villainesses and heroines in two Korean webtoons (web cartoons). Traditionally, villainesses were depicted as undesirable antagonists as they did not fit into the frame of traditional femininity or were merely viewed as sexually attractive. However, the traditional aspects of femininity were now contested by the villainess protagonists. Utilizing Butler’s theory of gender performativity along with Kress and van Leeuwen’s visual analysis, the protagonists’ and antagonists’ thoughts, actions, and appearance were analyzed. A descriptive qualitative analysis was conducted on two webtoons, The Villainess Reverses the Hourglass, and It Looks Like I’ve Fallen into the World of a Reverse Harem Game. The studied data are selected from chapters 1-45 in each webtoon. The results show that the villainess protagonists are depicted as more independent, have more power, and occasionally dress in a masculine way, while the heroines-turned-antagonists are illustrated as a dependent, lack power, and always dressed femininely. In this case, the heroines-turned-antagonists’ traits represent Korea’s traditional notion of femininity. Meanwhile, the villainess protagonists possess traits opposing the heroines’ traits. Positioning the villainesses as protagonists and heroines as antagonists show a clash of modern vs. traditional notion of femininity, and putting the ‘villainesses’ as the desirable protagonists imply how their representation of femininity is considered more favorable in the modern context."
326,HbEIEXIAAAAJ; 3bis8a0AAAAJ,2022,Understanding gen zs online self-presentation on multiple Instagram accounts,"Currently, Instagram has become one of the most effective mediums for personal branding. Interestingly, celebrities or influencers are not the only ones using it. Gen Z also uses Instagram to present their image as ideal as possible. However, that  does  not mean  they  lose  their  true  identity.  This  generation  prefers  to  have multiple Instagram accounts to express themselves. This study aimed to explore why Gen Z had multiple Instagram accounts, how they chose the followers, and how they conducted online  self-disclosure  through  content  categorisation  of  each  account. Through this study, the researchers wished to contribute a deeper understanding ofthe  cyber-self,  particularly  in  communication.  A  focused  group  discussion  was conducted  with 21  adolescents  aged  18-20  who  live  in  Java,  Bali,  Kalimantan,  and Sulawesi  with  varying  family  backgrounds,  education,  occupation,  and  gender.  The study found that Gen Z distinguished their account based on the designation they have for each account, what self-aspect they want to display,and it finally affects how they disclose information on Instagram."
327,3bis8a0AAAAJ; SHfDZzMAAAAJ,2020,The Construction of Expatriate Identity: A Critical Discourse Analysis on “Indonesia Expat” Magazine,"This thesis is a study on the construction of expatriate’s identity in Indonesia Expat magazine. The purpose of this study is to find how the expatriate’s identity is constructed in Indonesia Expat. In this study, the theory used was van Dijk’s (2015) critical discourse analysis. The data were parts of texts taken from Meet the Expat and Info for Expat columns in Indonesia Expat magazine. The writers took a descriptive qualitative approach in this study. According to the findings, there were five identities constructed about the expatriates: skillful, successful, wealthy, healthy, and caring. These identities were constructed by utilizing background, details, graphics, and word choice to generate particular interpretations."
328,3R2-WQYAAAAJ; anHPSV0AAAAJ; Pon2Rx4AAAAJ,2018,OPTIMASI MULTI-OBJECTIVE DESAIN STUKTUR RANGKA BATANG DENGAN METODE METAHEURISTIK,"Studi ini dilakukan untuk membandingkan kemampuan optimasi dari empat algoritma metaheuristik yaitu Particle Swarm Optimization (PSO), Differential Evolution (DE), Teaching Learning Based Optimization (TLBO) dan Symbiotic Organisms Search (SOS) dalam optimasi multi-objective terhadap berat dan perpindahan maksimum setiap batang. Tujuan penelitian ini adalah mengevaluasi algoritma metaheuristik yang memiliki performa paling baik dalam mendesain struktur rangka batang yang optimum dalam ranah multi-objective. Karena algoritma metaheuristik selalu memilih profil secara acak, maka pengujian untuk setiap algoritma dilakukan sebanyak tiga puluh kali untuk mendapatkan data sampel yang kemudian akan diolah menggunakan analisa statistik berupa rata-rata dan standar deviasi. Data yang telah diolah akan dibandingkan untuk melihat performa dari masing-masing metode yang digunakan. Performa algoritma terbaik akan dilihat dari analisa hypervolume. Hasil penelitian menunjukkan bahwa algoritma SOS memiliki performa terbaik pada ketiga struktur dengan profil yang didapat dari penelitian sebelumnya."
329,Z2nTDq8AAAAJ; JPrwPfwAAAAJ,2025,Media logic and educational micro-content: Presentational themes and approaches on TikTok,"Brevity is one of the defining characteristics of content found on the TikTok platform, along with features such as music, filters, and users’ body movements. Through the lens of media logic theory, this article focuses on the brevity of micro-content, such as TikTok videos, often referred to as bite-sized content, as well as its impact on content creation processes. Specifically, this study explores the themes and types of educational micro-video presentations on TikTok, all of which have a duration of less than five minutes. The study employs an inductive qualitative content analysis method, using a sample of 140 educational TikTok videos with durations ranging from 13 to 299 seconds. The research identifies six micro-content themes in education: study tips, health and beauty, sports and exercise, creative skills, media and technology, and general knowledge. Among these themes, health and beauty, creative skills, and …"
330,3XDlZdAAAAAJ,2024,Embodied spaces in digital times: Exploring the role of Instagram in shaping temporal dimensions and perceptions of architecture,"This study explores Instagram’s influence on sensory and experiential engagement with architecture in the digital age. Using a phenomenological approach, we studied the impact of Instagram’s visual features, such as filters, geotagging, and hashtags, on user interactions and perceptions of architectural spaces. The research demonstrates that Instagram transforms traditional architectural experiences into dynamic visual narratives that integrate real and virtual elements, altering our understanding of space and time. While acknowledging that architectural experience encompasses form, function, and historical context, this paper specifically focuses on Instagram’s role in mediating perceptual experiences. By analyzing user engagement patterns and content trends, the study highlights how Instagram shapes architectural design practices and the creation of spaces tailored for digital interaction. This study offers a comprehensive view of the complex relationship between digital media and architectural perception, identifying both the opportunities and challenges presented by the platform in influencing our understanding of architectural spaces."
331,3XDlZdAAAAAJ,2024,Furnitur work from home berbahan olahan sampah plastik untuk hunian sempit,"Bertambahnya populasi manusia yang meningkat dengan terbatasnya lahan di perkotaan mendorong orang untuk tinggal dalam hunian dengan luasan sempit/terbatas seperti: apartemen, kost-kostan, rumah susun, dan ruang huni lainnya yang terkait dengan fungsi furnitur yang akan dirancang. Ditambah dengan permasalahan wabah virus covid-19 yang telah memaksa banyak orang untuk bekerja dari rumah atau disebut work from home (WFH). Dengan dibantu adanya perkembangan teknologi yang memungkinkan seseorang lebih fleksibel bekerja dimanapun dan kapanpun tanpa harus hadir secara fisik dikantor tempat mereka bekerja. Cara kerja dan gaya hidup seperti itu membuat banyak masyarakat membutuhkan furnitur yang dapat mewadahi aktivitas kerja secara fleksibel dalam hunian sempit, dengan menggunakan material olahan sampah plastik sebagai daya tarik pasar. Perancangan ini menggunakan metode design thinking yang dimulai dari observasi pengenalan karakteristik proses daur ulang sampah plastik, pengumpulan data dan literatur terkait masalah perancangan, penggalian ide dan studi tipologi produk sejenis sebagai dasar penentuan konsep batasan perancangan, serta pengembangan yang menghasilkan desain akhir. Melalui 5 tahapan yang dilakukan, pada akhirnya perancangan ini menghasilkan desain furnitur berbahan olahan sampah plastik yang berkualitas secara visual, fungsi, dan kebutuhan pasar selama work from home untuk hunian sempit. Dengan begitu, furnitur yang dihasilkan berguna dan membawa hal positif bagi penggunanya."
332,3XDlZdAAAAAJ,2024,"Investigating the Project Based Learning and Service Learning: A Case Study of Interior Design Program, Petra Christian University","Curriculum development is carried out by the Interior Design Study Program at Petra Christian University to foster academic competencies, encourage and facilitate students to master various sciences according to their specialization, as well as enable them to understand real problems and find creative solutions. This article discusses various learning activities that contribute to empirical knowledge regarding the successful implementation of project-based learning in a sustainable manner. Through project-based learning, the learning process is built on learning activities with real tasks that challenge students to solve daily life problems independently and collaboratively. Meanwhile, through service learning, students experience direct interaction with the community where they live. Overall, implementing learning helps promote the existence of the design profession to the public. Communities become more aware that they must increase awareness of their cultural environment. In contrast, students become more aware of their competence as designers in building a better environment."
333,3XDlZdAAAAAJ,2024,Incorporating Mobile Augmented Reality into Ubiquitous Learning Models to Enhance Student Experience in Interior Design Education,"The shift towards more adaptable learning approaches in design education, particularly remote and online learning, has been significant following the pandemic. This study explores the integration of mobile augmented reality (MAR) in ubiquitous learning settings with a focus on interior design education. We involved 163 undergraduate students in experiments to assess their use of MAR tools such as SketchUp and Fologram within Rhinoceros-Grasshopper. Their experiences were evaluated using the User Experience Questionnaire (UEQ), and a chi-squared test analyzed the relationship between these MAR tools and two educational models: the traditional classroom (Model-I) and the flipped classroom (Model-II). Results showed a preference for SketchUp across both models due to its user-friendly interface, while Fologram was preferred in the traditional classroom for its innovative features. The study underlines the importance of balancing advanced technology with effective teaching strategies to improve learning outcomes. Future research is recommended to enhance design education in distance-learning environments."
